pixel	lat	lon
0	90.000000	-180.000000
1	89.000000	-150.000000
2	89.000000	-90.000000
3	89.000000	-30.000000
4	89.000000	30.000000
5	89.000000	90.000000
6	89.000000	150.000000
7	88.000000	-180.000000
8	88.000000	-152.307692
9	88.000000	-124.615385
10	88.000000	-96.923077
11	88.000000	-69.230769
12	88.000000	-41.538462
13	88.000000	-13.846154
14	88.000000	13.846154
15	88.000000	41.538462
16	88.000000	69.230769
17	88.000000	96.923077
18	88.000000	124.615385
19	88.000000	152.307692
20	87.000000	-170.526316
21	87.000000	-151.578947
22	87.000000	-132.631579
23	87.000000	-113.684211
24	87.000000	-94.736842
25	87.000000	-75.789474
26	87.000000	-56.842105
27	87.000000	-37.894737
28	87.000000	-18.947368
29	87.000000	-0.000000
30	87.000000	18.947368
31	87.000000	37.894737
32	87.000000	56.842105
33	87.000000	75.789474
34	87.000000	94.736842
35	87.000000	113.684211
36	87.000000	132.631579
37	87.000000	151.578947
38	87.000000	170.526316
39	86.000000	-180.000000
40	86.000000	-165.600000
41	86.000000	-151.200000
42	86.000000	-136.800000
43	86.000000	-122.400000
44	86.000000	-108.000000
45	86.000000	-93.600000
46	86.000000	-79.200000
47	86.000000	-64.800000
48	86.000000	-50.400000
49	86.000000	-36.000000
50	86.000000	-21.600000
51	86.000000	-7.200000
52	86.000000	7.200000
53	86.000000	21.600000
54	86.000000	36.000000
55	86.000000	50.400000
56	86.000000	64.800000
57	86.000000	79.200000
58	86.000000	93.600000
59	86.000000	108.000000
60	86.000000	122.400000
61	86.000000	136.800000
62	86.000000	151.200000
63	86.000000	165.600000
64	85.000000	-174.193548
65	85.000000	-162.580645
66	85.000000	-150.967742
67	85.000000	-139.354839
68	85.000000	-127.741935
69	85.000000	-116.129032
70	85.000000	-104.516129
71	85.000000	-92.903226
72	85.000000	-81.290323
73	85.000000	-69.677419
74	85.000000	-58.064516
75	85.000000	-46.451613
76	85.000000	-34.838710
77	85.000000	-23.225806
78	85.000000	-11.612903
79	85.000000	-0.000000
80	85.000000	11.612903
81	85.000000	23.225806
82	85.000000	34.838710
83	85.000000	46.451613
84	85.000000	58.064516
85	85.000000	69.677419
86	85.000000	81.290323
87	85.000000	92.903226
88	85.000000	104.516129
89	85.000000	116.129032
90	85.000000	127.741935
91	85.000000	139.354839
92	85.000000	150.967742
93	85.000000	162.580645
94	85.000000	174.193548
95	84.000000	-180.000000
96	84.000000	-170.526316
97	84.000000	-161.052632
98	84.000000	-151.578947
99	84.000000	-142.105263
100	84.000000	-132.631579
101	84.000000	-123.157895
102	84.000000	-113.684211
103	84.000000	-104.210526
104	84.000000	-94.736842
105	84.000000	-85.263158
106	84.000000	-75.789474
107	84.000000	-66.315789
108	84.000000	-56.842105
109	84.000000	-47.368421
110	84.000000	-37.894737
111	84.000000	-28.421053
112	84.000000	-18.947368
113	84.000000	-9.473684
114	84.000000	0.000000
115	84.000000	9.473684
116	84.000000	18.947368
117	84.000000	28.421053
118	84.000000	37.894737
119	84.000000	47.368421
120	84.000000	56.842105
121	84.000000	66.315789
122	84.000000	75.789474
123	84.000000	85.263158
124	84.000000	94.736842
125	84.000000	104.210526
126	84.000000	113.684211
127	84.000000	123.157895
128	84.000000	132.631579
129	84.000000	142.105263
130	84.000000	151.578947
131	84.000000	161.052632
132	84.000000	170.526316
133	83.000000	-175.909091
134	83.000000	-167.727273
135	83.000000	-159.545455
136	83.000000	-151.363636
137	83.000000	-143.181818
138	83.000000	-135.000000
139	83.000000	-126.818182
140	83.000000	-118.636364
141	83.000000	-110.454545
142	83.000000	-102.272727
143	83.000000	-94.090909
144	83.000000	-85.909091
145	83.000000	-77.727273
146	83.000000	-69.545455
147	83.000000	-61.363636
148	83.000000	-53.181818
149	83.000000	-45.000000
150	83.000000	-36.818182
151	83.000000	-28.636364
152	83.000000	-20.454545
153	83.000000	-12.272727
154	83.000000	-4.090909
155	83.000000	4.090909
156	83.000000	12.272727
157	83.000000	20.454545
158	83.000000	28.636364
159	83.000000	36.818182
160	83.000000	45.000000
161	83.000000	53.181818
162	83.000000	61.363636
163	83.000000	69.545455
164	83.000000	77.727273
165	83.000000	85.909091
166	83.000000	94.090909
167	83.000000	102.272727
168	83.000000	110.454545
169	83.000000	118.636364
170	83.000000	126.818182
171	83.000000	135.000000
172	83.000000	143.181818
173	83.000000	151.363636
174	83.000000	159.545455
175	83.000000	167.727273
176	83.000000	175.909091
177	82.000000	-180.000000
178	82.000000	-172.800000
179	82.000000	-165.600000
180	82.000000	-158.400000
181	82.000000	-151.200000
182	82.000000	-144.000000
183	82.000000	-136.800000
184	82.000000	-129.600000
185	82.000000	-122.400000
186	82.000000	-115.200000
187	82.000000	-108.000000
188	82.000000	-100.800000
189	82.000000	-93.600000
190	82.000000	-86.400000
191	82.000000	-79.200000
192	82.000000	-72.000000
193	82.000000	-64.800000
194	82.000000	-57.600000
195	82.000000	-50.400000
196	82.000000	-43.200000
197	82.000000	-36.000000
198	82.000000	-28.800000
199	82.000000	-21.600000
200	82.000000	-14.400000
201	82.000000	-7.200000
202	82.000000	0.000000
203	82.000000	7.200000
204	82.000000	14.400000
205	82.000000	21.600000
206	82.000000	28.800000
207	82.000000	36.000000
208	82.000000	43.200000
209	82.000000	50.400000
210	82.000000	57.600000
211	82.000000	64.800000
212	82.000000	72.000000
213	82.000000	79.200000
214	82.000000	86.400000
215	82.000000	93.600000
216	82.000000	100.800000
217	82.000000	108.000000
218	82.000000	115.200000
219	82.000000	122.400000
220	82.000000	129.600000
221	82.000000	136.800000
222	82.000000	144.000000
223	82.000000	151.200000
224	82.000000	158.400000
225	82.000000	165.600000
226	82.000000	172.800000
227	81.000000	-176.785714
228	81.000000	-170.357143
229	81.000000	-163.928571
230	81.000000	-157.500000
231	81.000000	-151.071429
232	81.000000	-144.642857
233	81.000000	-138.214286
234	81.000000	-131.785714
235	81.000000	-125.357143
236	81.000000	-118.928571
237	81.000000	-112.500000
238	81.000000	-106.071429
239	81.000000	-99.642857
240	81.000000	-93.214286
241	81.000000	-86.785714
242	81.000000	-80.357143
243	81.000000	-73.928571
244	81.000000	-67.500000
245	81.000000	-61.071429
246	81.000000	-54.642857
247	81.000000	-48.214286
248	81.000000	-41.785714
249	81.000000	-35.357143
250	81.000000	-28.928571
251	81.000000	-22.500000
252	81.000000	-16.071429
253	81.000000	-9.642857
254	81.000000	-3.214286
255	81.000000	3.214286
256	81.000000	9.642857
257	81.000000	16.071429
258	81.000000	22.500000
259	81.000000	28.928571
260	81.000000	35.357143
261	81.000000	41.785714
262	81.000000	48.214286
263	81.000000	54.642857
264	81.000000	61.071429
265	81.000000	67.500000
266	81.000000	73.928571
267	81.000000	80.357143
268	81.000000	86.785714
269	81.000000	93.214286
270	81.000000	99.642857
271	81.000000	106.071429
272	81.000000	112.500000
273	81.000000	118.928571
274	81.000000	125.357143
275	81.000000	131.785714
276	81.000000	138.214286
277	81.000000	144.642857
278	81.000000	151.071429
279	81.000000	157.500000
280	81.000000	163.928571
281	81.000000	170.357143
282	81.000000	176.785714
283	80.000000	-180.000000
284	80.000000	-174.285714
285	80.000000	-168.571429
286	80.000000	-162.857143
287	80.000000	-157.142857
288	80.000000	-151.428571
289	80.000000	-145.714286
290	80.000000	-140.000000
291	80.000000	-134.285714
292	80.000000	-128.571429
293	80.000000	-122.857143
294	80.000000	-117.142857
295	80.000000	-111.428571
296	80.000000	-105.714286
297	80.000000	-100.000000
298	80.000000	-94.285714
299	80.000000	-88.571429
300	80.000000	-82.857143
301	80.000000	-77.142857
302	80.000000	-71.428571
303	80.000000	-65.714286
304	80.000000	-60.000000
305	80.000000	-54.285714
306	80.000000	-48.571429
307	80.000000	-42.857143
308	80.000000	-37.142857
309	80.000000	-31.428571
310	80.000000	-25.714286
311	80.000000	-20.000000
