# taxon distribution range models
# data save on : 2025-03-13T19:27:35+02:00
taxon	type	age	equator	pixel	density
Rhododendron acuminatum	points	0	360	18588	1.000000
Rhododendron aequabile	points	0	360	20729	1.000000
Rhododendron aequabile	points	0	360	21450	1.000000
Rhododendron aequabile	points	0	360	22531	1.000000
Rhododendron alborugosum	points	0	360	21824	1.000000
Rhododendron album	points	0	360	23249	1.000000
Rhododendron album	points	0	360	23250	1.000000
Rhododendron alternans	points	0	360	21469	1.000000
Rhododendron baenitzianum	points	0	360	21850	1.000000
Rhododendron baenitzianum	points	0	360	21851	1.000000
Rhododendron baenitzianum	points	0	360	22568	1.000000
Rhododendron baenitzianum	points	0	360	22928	1.000000
Rhododendron burttii	points	0	360	18588	1.000000
Rhododendron burttii	points	0	360	19305	1.000000
Rhododendron carringtoniae	points	0	360	24001	1.000000
Rhododendron carringtoniae	points	0	360	24002	1.000000
Rhododendron carringtoniae	points	0	360	24358	1.000000
Rhododendron carringtoniae	points	0	360	24359	1.000000
Rhododendron christii	points	0	360	22568	1.000000
Rhododendron christii	points	0	360	22570	1.000000
Rhododendron christii	points	0	360	22928	1.000000
Rhododendron christii	points	0	360	22929	1.000000
Rhododendron christii	points	0	360	22930	1.000000
Rhododendron christii	points	0	360	22931	1.000000
Rhododendron christii	points	0	360	22932	1.000000
Rhododendron christii	points	0	360	23285	1.000000
Rhododendron christii	points	0	360	23646	1.000000
Rhododendron citrinum	points	0	360	19286	1.000000
Rhododendron citrinum	points	0	360	20729	1.000000
Rhododendron citrinum	points	0	360	21450	1.000000
Rhododendron citrinum	points	0	360	21810	1.000000
Rhododendron citrinum	points	0	360	22171	1.000000
Rhododendron citrinum	points	0	360	22531	1.000000
Rhododendron citrinum	points	0	360	23249	1.000000
Rhododendron citrinum	points	0	360	23250	1.000000
Rhododendron citrinum	points	0	360	23614	1.000000
Rhododendron commonae	points	0	360	22568	1.000000
Rhododendron commonae	points	0	360	22570	1.000000
Rhododendron commonae	points	0	360	22928	1.000000
Rhododendron commonae	points	0	360	22929	1.000000
Rhododendron commonae	points	0	360	22930	1.000000
Rhododendron commonae	points	0	360	22931	1.000000
Rhododendron commonae	points	0	360	22932	1.000000
Rhododendron commonae	points	0	360	23646	1.000000
Rhododendron culminicola	points	0	360	21122	1.000000
Rhododendron culminicola	points	0	360	22205	1.000000
Rhododendron culminicola	points	0	360	22207	1.000000
Rhododendron culminicola	points	0	360	22208	1.000000
Rhododendron culminicola	points	0	360	22568	1.000000
Rhododendron culminicola	points	0	360	22572	1.000000
Rhododendron culminicola	points	0	360	22930	1.000000
Rhododendron culminicola	points	0	360	22931	1.000000
Rhododendron culminicola	points	0	360	22932	1.000000
Rhododendron culminicola	points	0	360	23645	1.000000
Rhododendron culminicola	points	0	360	23646	1.000000
Rhododendron culminicola	points	0	360	24001	1.000000
Rhododendron edanoi	points	0	360	19305	1.000000
Rhododendron edanoi	points	0	360	20023	1.000000
Rhododendron edanoi	points	0	360	20025	1.000000
Rhododendron ericoides	points	0	360	18588	1.000000
Rhododendron ericoides	points	0	360	19304	1.000000
Rhododendron euonumifolium	points	0	360	11684	1.000000
Rhododendron euonumifolium	points	0	360	12010	1.000000
Rhododendron euonumifolium	points	0	360	12666	1.000000
Rhododendron goodenoughii	points	0	360	24004	1.000000
Rhododendron gracilentum	points	0	360	22568	1.000000
Rhododendron gracilentum	points	0	360	22929	1.000000
Rhododendron gracilentum	points	0	360	22930	1.000000
Rhododendron gracilentum	points	0	360	23288	1.000000
Rhododendron gracilentum	points	0	360	23289	1.000000
Rhododendron gracilentum	points	0	360	23645	1.000000
Rhododendron gracilentum	points	0	360	23646	1.000000
Rhododendron gracilentum	points	0	360	24001	1.000000
Rhododendron herzogii	points	0	360	22204	1.000000
Rhododendron herzogii	points	0	360	22207	1.000000
Rhododendron herzogii	points	0	360	22568	1.000000
Rhododendron herzogii	points	0	360	22570	1.000000
Rhododendron herzogii	points	0	360	22572	1.000000
