tree	lambda	logLike
vireya	1.500000	-711.953985
vireya	4.500000	-654.565520
vireya	7.500000	-625.455064
vireya	10.500000	-606.131553
vireya	13.500000	-591.960503
vireya	16.500000	-580.961790
vireya	19.500000	-572.070870
vireya	22.500000	-564.657609
vireya	25.500000	-558.326178
vireya	28.500000	-552.816918
vireya	31.500000	-547.953532
vireya	34.500000	-543.612359
vireya	37.500000	-539.703670
vireya	40.500000	-536.160243
vireya	43.500000	-532.930272
vireya	46.500000	-529.972928
vireya	49.500000	-527.255577
vireya	52.500000	-524.751934
vireya	55.500000	-522.440303
vireya	58.500000	-520.302667
vireya	61.500000	-518.323788
vireya	64.500000	-516.490626
vireya	67.500000	-514.791814
vireya	70.500000	-513.217249
vireya	73.500000	-511.757865
vireya	76.500000	-510.405818
vireya	79.500000	-509.153874
vireya	82.500000	-507.995430
vireya	85.500000	-506.924437
vireya	88.500000	-505.935413
vireya	91.500000	-505.023313
vireya	94.500000	-504.183505
vireya	97.500000	-503.411734
vireya	100.500000	-502.704090
vireya	103.500000	-502.056967
vireya	106.500000	-501.467037
vireya	109.500000	-500.931232
vireya	112.500000	-500.446703
vireya	115.500000	-500.010810
vireya	118.500000	-499.621119
vireya	121.500000	-499.275360
vireya	124.500000	-498.971413
vireya	127.500000	-498.707293
vireya	130.500000	-498.481156
vireya	133.500000	-498.291275
vireya	136.500000	-498.135994
vireya	139.500000	-498.013830
vireya	142.500000	-497.923371
vireya	145.500000	-497.863329
vireya	148.500000	-497.832453
vireya	151.500000	-497.829561
vireya	154.500000	-497.853542
vireya	157.500000	-497.903347
vireya	160.500000	-497.977970
vireya	163.500000	-498.076481
vireya	166.500000	-498.197994
vireya	169.500000	-498.341668
vireya	172.500000	-498.506705
vireya	175.500000	-498.692344
vireya	178.500000	-498.897853
vireya	181.500000	-499.122550
vireya	184.500000	-499.365787
vireya	187.500000	-499.626943
vireya	190.500000	-499.905423
vireya	193.500000	-500.200662
vireya	196.500000	-500.512118
vireya	199.500000	-500.839276
vireya	202.500000	-501.181641
vireya	205.500000	-501.538741
vireya	208.500000	-501.910125
vireya	211.500000	-502.295360
vireya	214.500000	-502.694031
vireya	217.500000	-503.105742
vireya	220.500000	-503.530111
vireya	223.500000	-503.966774
vireya	226.500000	-504.415379
vireya	229.500000	-504.875589
vireya	232.500000	-505.347081
vireya	235.500000	-505.829544
vireya	238.500000	-506.322677
vireya	241.500000	-506.826189
vireya	244.500000	-507.339809
vireya	247.500000	-507.863270
vireya	250.500000	-508.396314
vireya	253.500000	-508.938696
vireya	256.500000	-509.490178
vireya	259.500000	-510.050529
vireya	262.500000	-510.619528
vireya	265.500000	-511.196961
vireya	268.500000	-511.782623
vireya	271.500000	-512.376312
vireya	274.500000	-512.977837
vireya	277.500000	-513.587014
vireya	280.500000	-514.203662
vireya	283.500000	-514.827606
vireya	286.500000	-515.458680
vireya	289.500000	-516.096721
vireya	292.500000	-516.741573
vireya	295.500000	-517.393082
vireya	298.500000	-518.051102
